-39.77958664	-2.91565418	-7.11622763
-39.27958664	-2.91565418	-7.12171029
-38.77958664	-2.91565418	-7.46299902
-38.27958664	-2.91565418	-6.98542374
-37.77958664	-2.91565418	-6.92858079
-37.27958664	-2.91565418	-6.80604979
-36.77958664	-2.91565418	-6.72266637
-36.27958664	-2.91565418	-6.62452892
-35.77958664	-2.91565418	-6.53948147
-35.27958664	-2.91565418	-6.45399551
-34.77958664	-2.91565418	-6.37406073
-34.27958664	-2.91565418	-6.29677324
-33.77958664	-2.91565418	-6.22291637
-33.27958664	-2.91565418	-6.15207156
-32.77958664	-2.91565418	-6.08397973
-32.27958664	-2.91565418	-6.01870621
-31.77958664	-2.91565418	-5.95593248
-31.27958664	-2.91565418	-5.89574660
-30.77958664	-2.91565418	-5.83800347
-30.27958664	-2.91565418	-5.78282733
-29.77958664	-2.91565418	-5.73013358
-29.27958664	-2.91565418	-5.68014305
-28.77958664	-2.91565418	-5.63284562
-28.27958664	-2.91565418	-5.58807655
-27.77958664	-2.91565418	-5.54695369
-27.27958664	-2.91565418	-5.50848796
-26.77958664	-2.91565418	-5.47382367
-26.27958664	-2.91565418	-5.44171976
-25.77958664	-2.91565418	-5.41522027
-25.27958664	-2.91565418	-5.39272960
-24.77958664	-2.91565418	-5.37656445
-24.27958664	-2.91565418	-5.36521875
-23.77958664	-2.91565418	-5.35986771
-23.27958664	-2.91565418	-5.35837164
-22.77958664	-2.91565418	-5.36256948
-22.27958664	-2.91565418	-5.37025236
-21.77958664	-2.91565418	-5.37989869
-21.27958664	-2.91565418	-5.39231063
-20.77958664	-2.91565418	-5.40891157
-20.27958664	-2.91565418	-5.42554202
-19.77958664	-2.91565418	-5.44806409
-19.27958664	-2.91565418	-5.46854269
-18.77958664	-2.91565418	-5.49418969
-18.27958664	-2.91565418	-5.51724828
-17.77958664	-2.91565418	-5.54475080
-17.27958664	-2.91565418	-5.56868464
-16.77958664	-2.91565418	-5.59765265
-16.27958664	-2.91565418	-5.62390671
-15.77958664	-2.91565418	-5.65260714
-15.27958664	-2.91565418	-5.68008067
-14.77958664	-2.91565418	-5.71106554
-14.27958664	-2.91565418	-5.74262256
-13.77958664	-2.91565418	-5.77619605
-13.27958664	-2.91565418	-5.81205956
-12.77958664	-2.91565418	-5.84947050
-12.27958664	-2.91565418	-5.89003956
-11.77958664	-2.91565418	-5.93220635
-11.27958664	-2.91565418	-5.97878385
-10.77958664	-2.91565418	-6.02641310
-10.27958664	-2.91565418	-6.07474156
-9.77958664	-2.91565418	-6.12541552
-9.27958664	-2.91565418	-6.17231923
-8.77958664	-2.91565418	-6.21884699
-8.27958664	-2.91565418	-6.25954103
-7.77958664	-2.91565418	-6.29946989
-7.27958664	-2.91565418	-6.32981707
-6.77958664	-2.91565418	-6.35964002
-6.27958664	-2.91565418	-6.38156483
-5.77958664	-2.91565418	-6.40529217
-5.27958664	-2.91565418	-6.42309244
-4.77958664	-2.91565418	-6.44279489
-4.27958664	-2.91565418	-6.45670020
-3.77958664	-2.91565418	-6.47174400
-3.27958664	-2.91565418	-6.48329351
-2.77958664	-2.91565418	-6.49466619
-2.27958664	-2.91565418	-6.50262863
-1.77958664	-2.91565418	-6.50901445
-1.27958664	-2.91565418	-6.51149417
-0.77958664	-2.91565418	-6.51250167
-0.27958664	-2.91565418	-6.51271834
0.22041336	-2.91565418	-6.51399078
0.72041336	-2.91565418	-6.51344046
1.22041336	-2.91565418	-6.51479388
1.72041336	-2.91565418	-6.51540305
2.22041336	-2.91565418	-6.51856741
2.72041336	-2.91565418	-6.52095422
3.22041336	-2.91565418	-6.52543373
3.72041336	-2.91565418	-6.53118778
4.22041336	-2.91565418	-6.53793899
4.72041336	-2.91565418	-6.54764615
5.22041336	-2.91565418	-6.55793644
5.72041336	-2.91565418	-6.57066655
6.22041336	-2.91565418	-6.58310838
6.72041336	-2.91565418	-6.59622736
7.22041336	-2.91565418	-6.61087887
7.72041336	-2.91565418	-6.62793543
8.22041336	-2.91565418	-6.64619937
8.72041336	-2.91565418	-6.66571471
9.22041336	-2.91565418	-6.68646640
9.72041336	-2.91565418	-6.70926986
10.22041336	-2.91565418	-6.73292612
10.72041336	-2.91565418	-6.75906159
11.22041336	-2.91565418	-6.78497319
11.72041336	-2.91565418	-6.81391436
12.22041336	-2.91565418	-6.84286901
12.72041336	-2.91565418	-6.87317298
13.22041336	-2.91565418	-6.90299092
13.72041336	-2.91565418	-6.93352891
14.22041336	-2.91565418	-6.96424085
14.72041336	-2.91565418	-6.99481622
15.22041336	-2.91565418	-7.02631920
15.72041336	-2.91565418	-7.05759472
16.22041336	-2.91565418	-7.09108780
16.72041336	-2.91565418	-7.12492542
17.22041336	-2.91565418	-7.16171006
17.72041336	-2.91565418	-7.19985461
18.22041336	-2.91565418	-7.24122469
18.72041336	-2.91565418	-7.28528967
19.22041336	-2.91565418	-7.33305382
19.72041336	-2.91565418	-7.38371395
20.22041336	-2.91565418	-7.43892332
20.72041336	-2.91565418	-7.49728515
21.22041336	-2.91565418	-7.56011247
21.72041336	-2.91565418	-7.62741839
22.22041336	-2.91565418	-7.69919169
22.72041336	-2.91565418	-7.77355659
23.22041336	-2.91565418	-7.85219932
23.72041336	-2.91565418	-7.93510716
24.22041336	-2.91565418	-8.02358944
24.72041336	-2.91565418	-8.11242565
25.22041336	-2.91565418	-8.20173164
25.72041336	-2.91565418	-8.29708302
26.22041336	-2.91565418	-8.38988995
26.72041336	-2.91565418	-8.48549643
27.22041336	-2.91565418	-8.57983061
27.72041336	-2.91565418	-8.67496028
28.22041336	-2.91565418	-8.76768965
28.72041336	-2.91565418	-8.85926029
29.22041336	-2.91565418	-8.95309921
29.72041336	-2.91565418	-9.05039995
30.22041336	-2.91565418	-9.13449809
30.72041336	-2.91565418	-9.21910465
31.22041336	-2.91565418	-9.27901495
31.72041336	-2.91565418	-9.35932833
32.22041336	-2.91565418	-9.57799902
32.72041336	-2.91565418	-9.43677092
33.22041336	-2.91565418	-9.48591217
33.72041336	-2.91565418	-9.47018433
34.22041336	-2.91565418	-9.48919718
34.72041336	-2.91565418	-9.48763371
